Success Rate (%),Average Cost,Standard Deviation,Average Execution Time (s),Parameters,Dataset
100.0,280773.8,100732.65031239872,0.037996315956115724,"(1000, 0.99, 1000, 0.0001, 1000, 100000)",datasets/sppnw41.txt
100.0,18358.8,1773.5514540040838,0.007341504096984863,"(1000, 0.99, 1000, 0.0001, 2000, 1000)",datasets/sppnw41.txt
100.0,46364.5,13677.048491907894,0.03415050506591797,"(1000, 0.99, 1000, 0.0001, 2000, 10000)",datasets/sppnw41.txt
100.0,299871.7,144097.07038732606,0.03603861331939697,"(1000, 0.99, 1000, 0.0001, 2000, 100000)",datasets/sppnw41.txt
100.0,18379.6,1920.990952607534,0.008714890480041504,"(1000, 0.99, 1000, 1e-05, 500, 1000)",datasets/sppnw41.txt
100.0,41367.6,12672.358558689853,0.0402508020401001,"(1000, 0.99, 1000, 1e-05, 500, 10000)",datasets/sppnw41.txt
100.0,299034.7,126070.17010700826,0.028531813621520997,"(1000, 0.99, 1000, 1e-05, 500, 100000)",datasets/sppnw41.txt
100.0,18343.3,1536.5061047714714,0.01243290901184082,"(1000, 0.99, 1000, 1e-05, 1000, 1000)",datasets/sppnw41.txt
100.0,55394.3,7665.887111743819,0.023337316513061524,"(1000, 0.99, 1000, 1e-05, 1000, 10000)",datasets/sppnw41.txt
100.0,229688.4,67789.13754607002,0.0344235897064209,"(1000, 0.99, 1000, 1e-05, 1000, 100000)",datasets/sppnw41.txt
100.0,18503.8,1771.5948069465546,0.00850980281829834,"(1000, 0.99, 1000, 1e-05, 2000, 1000)",datasets/sppnw41.txt
100.0,40649.4,13806.193082816131,0.034498286247253415,"(1000, 0.99, 1000, 1e-05, 2000, 10000)",datasets/sppnw41.txt
100.0,310428.2,127640.20101347381,0.04285299777984619,"(1000, 0.99, 1000, 1e-05, 2000, 100000)",datasets/sppnw41.txt
100.0,18215.6,1456.8835368690252,0.012167882919311524,"(1000, 0.99, 2000, 0.001, 500, 1000)",datasets/sppnw41.txt
100.0,40968.9,18315.927333607764,0.052366209030151364,"(1000, 0.99, 2000, 0.001, 500, 10000)",datasets/sppnw41.txt
100.0,309403.4,146682.66316317004,0.0471019983291626,"(1000, 0.99, 2000, 0.001, 500, 100000)",datasets/sppnw41.txt
100.0,19039.1,851.8007337399986,0.006501483917236328,"(1000, 0.99, 2000, 0.001, 1000, 1000)",datasets/sppnw41.txt
100.0,54360.2,13220.862905272106,0.03631560802459717,"(1000, 0.99, 2000, 0.001, 1000, 10000)",datasets/sppnw41.txt
100.0,320713.2,124186.57488134537,0.04123036861419678,"(1000, 0.99, 2000, 0.001, 1000, 100000)",datasets/sppnw41.txt
100.0,17316.8,2252.382551877012,0.019102096557617188,"(1000, 0.99, 2000, 0.001, 2000, 1000)",datasets/sppnw41.txt
100.0,45252.8,9336.354832588573,0.04782097339630127,"(1000, 0.99, 2000, 0.001, 2000, 10000)",datasets/sppnw41.txt
100.0,298918.6,105197.66349325444,0.05173580646514893,"(1000, 0.99, 2000, 0.001, 2000, 100000)",datasets/sppnw41.txt
100.0,19014.7,1160.4703399915052,0.007362484931945801,"(1000, 0.99, 2000, 0.0001, 500, 1000)",datasets/sppnw41.txt
100.0,52231.9,12512.33469381314,0.040260815620422365,"(1000, 0.99, 2000, 0.0001, 500, 10000)",datasets/sppnw41.txt
100.0,259532.4,133741.07022242644,0.04684357643127442,"(1000, 0.99, 2000, 0.0001, 500, 100000)",datasets/sppnw41.txt
100.0,18397.4,1350.6266841729434,0.007412910461425781,"(1000, 0.99, 2000, 0.0001, 1000, 1000)",datasets/sppnw41.txt
100.0,45721.8,14362.359024895597,0.04016289710998535,"(1000, 0.99, 2000, 0.0001, 1000, 10000)",datasets/sppnw41.txt
100.0,397240.1,85437.65794478451,0.046818900108337405,"(1000, 0.99, 2000, 0.0001, 1000, 100000)",datasets/sppnw41.txt
100.0,19387.4,385.21661438728216,0.007390999794006347,"(1000, 0.99, 2000, 0.0001, 2000, 1000)",datasets/sppnw41.txt
100.0,41621.5,12475.442775709405,0.040253067016601564,"(1000, 0.99, 2000, 0.0001, 2000, 10000)",datasets/sppnw41.txt
100.0,238307.2,176766.27421869818,0.04682459831237793,"(1000, 0.99, 2000, 0.0001, 2000, 100000)",datasets/sppnw41.txt
100.0,19055.8,934.1696633909711,0.008338022232055663,"(1000, 0.99, 2000, 1e-05, 500, 1000)",datasets/sppnw41.txt
100.0,47319.6,11391.248317897385,0.03846719264984131,"(1000, 0.99, 2000, 1e-05, 500, 10000)",datasets/sppnw41.txt
100.0,230504.4,102422.37844065134,0.06099998950958252,"(1000, 0.99, 2000, 1e-05, 500, 100000)",datasets/sppnw41.txt
100.0,19280.5,599.6444363120532,0.008358097076416016,"(1000, 0.99, 2000, 1e-05, 1000, 1000)",datasets/sppnw41.txt
100.0,48725.8,14443.971883107499,0.03835618495941162,"(1000, 0.99, 2000, 1e-05, 1000, 10000)",datasets/sppnw41.txt
100.0,299588.5,114916.25786393325,0.06232118606567383,"(1000, 0.99, 2000, 1e-05, 1000, 100000)",datasets/sppnw41.txt
100.0,19181.2,661.6418668736131,0.008617091178894042,"(1000, 0.99, 2000, 1e-05, 2000, 1000)",datasets/sppnw41.txt
100.0,47305.7,15254.26577092454,0.048099708557128903,"(1000, 0.99, 2000, 1e-05, 2000, 10000)",datasets/sppnw41.txt
100.0,276564.8,155173.46669762844,0.05657048225402832,"(1000, 0.99, 2000, 1e-05, 2000, 100000)",datasets/sppnw41.txt
